transcript_id,DRR095904,DRR095905,DRR095906,DRR095907,DRR095908,DRR095909
MSTRG.26.1,243,155,218,818,408,324
MSTRG.26.2,52,0,0,0,0,0
rna-ELECO.r07.1AG0000400.1,987,1542,1522,1369,971,978
MSTRG.31.1,724,829,927,172,233,230
MSTRG.32.1,170,131,171,367,190,226
rna-ELECO.r07.1AG0000460.1,28,5,8,16,127,17
MSTRG.33.1,0,0,9,45,48,31
rna-ELECO.r07.1AG0000480.1,76,186,86,530,325,151
rna-ELECO.r07.1AG0000490.1,0,0,11,40,41,35
MSTRG.36.1,1198,986,1457,275,502,348
MSTRG.36.2,131,161,292,24,39,31
rna-ELECO.r07.1AG0000590.1,0,13,6,8,13,7
rna-ELECO.r07.1AG0000510.1,243,294,337,956,853,551
MSTRG.17.2,0,0,30,65,0,0
rna-ELECO.r07.1AG0000260.1,13039,7620,9140,5245,5752,3259
MSTRG.15.2,38906,65060,72144,11951,14582,16145
MSTRG.16.1,17,63,20,6,10,3
MSTRG.17.1,39,60,49,89,206,104
rna-ELECO.r07.1AG0000270.1,51,0,4,117,74,62
rna-ELECO.r07.1AG0000610.1,41,31,34,226,170,145
MSTRG.40.1,271,768,472,1206,720,935
MSTRG.40.2,40,187,12,108,74,27
MSTRG.40.3,263,39,1,142,173,53
rna-ELECO.r07.1AG0000600.1,641,660,1011,1904,1378,757
MSTRG.42.2,0,0,0,75,0,160
MSTRG.42.3,0,0,0,64,0,88
MSTRG.42.1,21,230,74,152,32,173
MSTRG.42.4,156,10,138,343,488,81
MSTRG.42.5,35,40,14,162,135,66
rna-ELECO.r07.1AG0000670.1,101,69,109,625,571,322
MSTRG.44.1,37,21,33,48,87,29
rna-ELECO.r07.1AG0000690.1,19,32,78,309,224,107
MSTRG.47.1,1,63,42,78,97,78
MSTRG.47.2,4,0,9,83,47,20
MSTRG.45.1,441,416,547,1437,1115,768
rna-ELECO.r07.1AG0000700.1,73,27,53,189,153,124
rna-ELECO.r07.1AG0000760.1,38,0,10,7,20,7
MSTRG.50.3,0,0,195,606,65,26
MSTRG.50.1,77,186,27,507,727,777
rna-ELECO.r07.1AG0000770.1,74,0,10,76,220,15
MSTRG.51.7,0,55,148,34,8,38
MSTRG.51.9,0,0,63,10,41,2
MSTRG.51.10,0,0,0,85,21,81
rna-ELECO.r07.1AG0000790.1,0,0,0,0,0,0
MSTRG.51.1,258,312,574,294,362,386
MSTRG.51.2,147,0,0,0,365,114
MSTRG.51.3,2,22,124,487,66,138
MSTRG.51.4,262,844,198,294,148,172
MSTRG.51.5,113,368,20,0,0,0
MSTRG.51.6,43,190,26,67,40,24
MSTRG.51.8,8,26,145,63,237,62
MSTRG.51.11,215,1,314,237,287,207
rna-ELECO.r07.1AG0000810.1,0,0,0,0,0,0
MSTRG.52.1,133,196,176,245,327,150
rna-ELECO.r07.1AG0000850.1,4,0,7,19,8,13
rna-ELECO.r07.1AG0000840.1,12,0,0,26,9,0
rna-ELECO.r07.1AG0000860.1,0,0,0,0,0,0
MSTRG.56.1,18,24,58,85,56,47
MSTRG.56.3,7,26,21,31,16,20
MSTRG.53.1,204,219,255,270,205,138
rna-ELECO.r07.1AG0000820.1,233,254,533,395,480,279
rna-ELECO.r07.1AG0000870.1,618,746,910,1894,1540,985
rna-ELECO.r07.1AG0000880.1,128,203,238,1407,1244,734
MSTRG.60.5,0,141,80,205,69,179
MSTRG.60.6,0,248,109,39,74,0
MSTRG.60.7,0,0,229,62,16,34
MSTRG.60.2,448,0,51,141,63,244
MSTRG.60.1,557,803,1456,1291,992,527
MSTRG.60.3,143,203,25,128,20,42
MSTRG.60.8,127,0,49,33,0,28
MSTRG.60.4,99,618,741,536,1059,1528
rna-ELECO.r07.1AG0000900.1,13,254,8,6,6,9
MSTRG.62.1,29,26,78,11,25,6
MSTRG.62.2,14,0,13,0,0,0
rna-ELECO.r07.1AG0000910.1,968,715,731,263,395,244
MSTRG.63.2,0,0,29,72,56,24
MSTRG.63.1,184,168,272,154,211,184
rna-ELECO.r07.1AG0000940.1,89,69,116,194,130,107
rna-ELECO.r07.1AG0000960.1,604,490,337,57,166,168
rna-ELECO.r07.1AG0000970.1,232,62,62,465,579,399
rna-ELECO.r07.1AG0000980.1,307,518,407,333,177,120
MSTRG.70.1,48,112,57,243,229,163
MSTRG.69.1,177,226,284,245,152,98
rna-ELECO.r07.1AG0000990.1,31,29,20,37,59,8
rna-ELECO.r07.1AG0001030.1,6,4,4,50,78,28
rna-ELECO.r07.1AG0001020.1,897,847,1216,3429,2743,1603
MSTRG.75.1,12,0,0,0,0,0
MSTRG.73.1,0,196,125,664,516,247
MSTRG.73.3,0,0,44,0,11,74
MSTRG.73.2,119,294,261,106,190,97
MSTRG.73.4,110,0,67,41,53,25
MSTRG.80.1,13,0,0,1,2,2
MSTRG.82.1,7,0,0,9,3,15
MSTRG.77.3,0,0,57,20,1,7
MSTRG.77.1,27,59,45,60,143,14
MSTRG.77.2,52,98,101,370,191,208
MSTRG.84.1,22,13,0,1,4,4
rna-ELECO.r07.1AG0001110.1,0,0,0,0,0,0
MSTRG.85.1,49,73,70,162,125,64
MSTRG.86.1,58,87,47,338,372,183
rna-ELECO.r07.1AG0001170.1,0,0,16,62,79,34
rna-ELECO.r07.1AG0001160.1,15,8,26,12633,7758,3681
MSTRG.88.1,354,562,549,1297,1524,1206
rna-ELECO.r07.1AG0001150.1,7,6,7,298,7,7
rna-ELECO.r07.1AG0001180.1,0,0,0,3,12,4
MSTRG.91.1,11,0,0,180,152,116
rna-ELECO.r07.1AG0001190.1,0,0,0,0,0,0
rna-ELECO.r07.1AG0001200.1,12,17,23,303,265,162
MSTRG.94.1,0,35,16,326,348,220
rna-ELECO.r07.1AG0001240.1,0,0,0,25,21,48
MSTRG.93.3,0,71,3,0,0,0
rna-ELECO.r07.1AG0001230.1,0,0,0,14,18,0
MSTRG.93.1,91,96,27,248,181,70
MSTRG.93.2,3,0,137,6,2,86
rna-ELECO.r07.1AG0001260.1,0,0,0,41,21,6
MSTRG.95.1,31,48,115,483,370,225
rna-ELECO.r07.1AG0001250.1,194,261,144,748,570,387
rna-ELECO.r07.1AG0001280.1,31,64,11,78,101,36
MSTRG.97.1,96,71,70,344,303,206
rna-ELECO.r07.1AG0001300.1,13,19,6,13,22,12
rna-ELECO.r07.1AG0001290.1,0,0,0,0,0,0
MSTRG.98.4,0,0,55,0,0,50
MSTRG.98.2,144,10,263,43,3,78
MSTRG.98.1,119,402,135,341,312,59
rna-ELECO.r07.1AG0001340.1,14,43,0,37,26,27
MSTRG.100.1,0,25,2,99,164,95
rna-ELECO.r07.1AG0001330.1,0,0,27,117,86,55
MSTRG.100.3,0,13,0,0,1,0
rna-ELECO.r07.1AG0001350.1,26,83,98,40,58,24
MSTRG.103.2,0,15,0,0,0,0
rna-ELECO.r07.1AG0001360.1,56,29,4,19,7,8
MSTRG.104.1,0,0,0,0,0,27
MSTRG.104.2,12,21,47,48,80,18
MSTRG.106.1,0,0,0,61,56,0
MSTRG.106.2,0,0,0,0,21,60
rna-ELECO.r07.1AG0001380.1,0,0,0,37,30,0
MSTRG.107.1,17,0,3,1,2,2
MSTRG.108.1,12,0,0,27,25,24
MSTRG.109.1,99,77,165,290,260,186
rna-ELECO.r07.1AG0001400.1,425,133,169,380,821,506
rna-ELECO.r07.1AG0001410.1,46,82,56,269,155,134
rna-ELECO.r07.1AG0001430.1,47,13,58,60,80,13
MSTRG.112.2,1,22,1,1,1,1
MSTRG.114.1,2,0,8,14,7,7
MSTRG.113.2,0,54,92,39,111,34
MSTRG.113.3,0,309,521,42,167,0
MSTRG.113.1,8,0,134,0,0,167
MSTRG.113.4,379,169,33,248,107,0
rna-ELECO.r07.1AG0001440.1,43,39,46,20,54,13
rna-ELECO.r07.1AG0001480.1,19,55,35,23,35,28
rna-ELECO.r07.1AG0001450.1,626,736,834,955,1078,849
MSTRG.118.1,25,24,28,121,74,63
rna-ELECO.r07.1AG0001500.1,13,39,4,10,6,7
rna-ELECO.r07.1AG0001580.1,9,0,1,10,15,2
rna-ELECO.r07.1AG0001590.1,0,0,0,135,153,84
rna-ELECO.r07.1AG0001510.1,0,0,14,15,16,9
MSTRG.119.1,155,162,92,50,107,75
rna-ELECO.r07.1AG0001660.1,2,0,1,7,6,2
rna-ELECO.r07.1AG0001640.1,0,0,0,13,2,0
MSTRG.121.3,0,0,0,12,0,11
rna-ELECO.r07.1AG0001650.1,0,1,3,11,2,2
MSTRG.121.1,109,185,269,330,282,175
MSTRG.121.4,6,0,0,4,1,3
MSTRG.124.1,56,89,43,216,131,136
rna-ELECO.r07.1AG0001680.1,0,0,0,0,0,0
MSTRG.123.1,91,169,179,709,535,372
MSTRG.123.3,51,0,0,0,0,0
MSTRG.126.2,0,0,0,186,155,44
rna-ELECO.r07.1AG0001760.1,4,25,28,0,8,32
rna-ELECO.r07.1AG0001780.1,11,7,2,4,4,4
rna-ELECO.r07.1AG0001770.1,69,17,53,79,52,42
MSTRG.125.4,0,0,178,99,0,0
rna-ELECO.r07.1AG0001730.1,0,0,137,87,36,106
MSTRG.125.6,0,0,0,5,12,10
MSTRG.125.7,0,0,0,0,311,77
rna-ELECO.r07.1AG0001740.1,0,0,0,0,0,0
MSTRG.125.1,148,1159,391,172,186,220
MSTRG.125.2,382,0,558,235,0,157
MSTRG.125.3,154,51,0,13,38,34
MSTRG.125.5,197,0,4,29,61,35
rna-ELECO.r07.1AG0001790.1,72,151,143,570,548,363
rna-ELECO.r07.1AG0001800.1,57,46,51,138,237,115
MSTRG.130.1,22,128,0,410,334,116
rna-ELECO.r07.1AG0001810.1,37,4,143,60,7,130
rna-ELECO.r07.1AG0001820.1,0,0,0,10,72,24
MSTRG.131.1,39,43,36,160,86,109
rna-ELECO.r07.1AG0001840.1,0,0,0,6,7,3
rna-ELECO.r07.1AG0001830.1,225,354,372,1144,840,611
MSTRG.133.1,0,0,11,0,2,1
rna-ELECO.r07.1AG0001870.1,84,113,88,25,32,16
MSTRG.134.2,87,0,15,10,14,0
rna-ELECO.r07.1AG0001910.1,0,0,0,0,0,0
rna-ELECO.r07.1AG0001890.1,46,139,48,36,18,27
rna-ELECO.r07.1AG0001900.1,18,13,29,16,25,22
MSTRG.138.2,0,0,18,0,0,0
rna-ELECO.r07.1AG0001960.1,18,38,22,7,11,12
rna-ELECO.r07.1AG0001980.1,0,3,0,0,6,0
rna-ELECO.r07.1AG0002040.1,9,3,0,70,22,9
MSTRG.139.2,105,47,73,105,171,114
MSTRG.139.1,11,113,94,146,127,156
rna-ELECO.r07.1AG0002010.1,109,80,7,79,22,58
rna-ELECO.r07.1AG0002060.1,0,0,0,23,15,3
MSTRG.142.1,41,60,37,267,170,163
MSTRG.141.2,0,0,10,8,2,0
MSTRG.141.1,7,30,37,131,80,66
rna-ELECO.r07.1AG0002050.1,36,0,0,0,0,0
rna-ELECO.r07.1AG0002070.1,153,162,170,305,245,184
MSTRG.144.1,4,0,1,0,6,12
rna-ELECO.r07.1AG0002080.1,65,19,13,14,21,14
MSTRG.147.2,0,0,10,96,67,21
MSTRG.147.1,2,21,0,20,5,56
MSTRG.147.3,61,90,95,273,299,142
MSTRG.148.1,123,142,148,389,325,236
rna-ELECO.r07.1AG0002200.1,24,5,9,42,18,2
MSTRG.150.2,0,0,0,131,60,112
rna-ELECO.r07.1AG0002170.1,0,0,0,57,106,70
MSTRG.150.1,72,54,37,340,285,177
rna-ELECO.r07.1AG0002160.1,2806,4148,3686,7229,7469,5714
rna-ELECO.r07.1AG0002210.1,0,0,0,51,26,28
MSTRG.151.1,0,0,0,22,17,4
MSTRG.152.3,0,0,54,6,37,4
rna-ELECO.r07.1AG0002220.1,0,0,0,36,7,75
MSTRG.152.1,74,128,43,395,282,158
MSTRG.152.2,22,0,0,251,129,71
MSTRG.153.1,13,7,4,1,7,1
MSTRG.154.1,1,7,1,2,3,2
rna-ELECO.r07.1AG0002230.1,754,661,542,949,928,559
MSTRG.157.1,74,82,40,17,29,18
MSTRG.156.3,0,0,0,36,9,28
MSTRG.156.6,0,0,15,0,0,2
rna-ELECO.r07.1AG0002240.1,263,178,270,222,392,195
MSTRG.156.1,9,14,1,25,35,17
rna-ELECO.r07.1AG0002250.1,11,0,42,0,0,0
MSTRG.156.5,76,144,62,471,306,127
MSTRG.159.1,0,0,0,80,34,27
rna-ELECO.r07.1AG0002350.1,39,48,78,497,356,215
MSTRG.162.1,13,7,38,168,161,97
MSTRG.161.2,0,0,65,0,0,0
MSTRG.161.1,247,484,523,1358,1042,802
rna-ELECO.r07.1AG0002490.1,0,0,0,0,0,0
MSTRG.163.1,207,148,232,11,19,8
rna-ELECO.r07.1AG0002510.1,357,441,606,1018,866,699
rna-ELECO.r07.1AG0002520.1,4,11,2,3,5,2
MSTRG.167.1,75,114,239,12,13,13
rna-ELECO.r07.1AG0002570.1,49,109,59,0,17,9
rna-ELECO.r07.1AG0002580.1,69,146,182,489,432,325
MSTRG.170.1,7,6,14,5,2,2
MSTRG.171.2,0,0,35,0,0,11
MSTRG.171.1,52,66,45,200,186,80
MSTRG.174.1,16,0,0,33,19,12
MSTRG.175.1,9,0,0,9,9,5
MSTRG.177.1,13,0,4,2,4,0
rna-ELECO.r07.1AG0002670.1,1,5,6,3,4,5
MSTRG.179.1,0,22,0,7,10,3
rna-ELECO.r07.1AG0002710.1,40,68,117,475,369,195
MSTRG.180.1,91,0,48,285,300,131
rna-ELECO.r07.1AG0002720.1,16,16,10,3,14,8
rna-ELECO.r07.1AG0002750.1,50,33,24,542,434,181
MSTRG.184.1,232,142,172,1027,1327,493
rna-ELECO.r07.1AG0002780.1,78,44,10,44,128,31
rna-ELECO.r07.1AG0002880.1,0,0,13,2,1,0
MSTRG.185.2,0,0,75,165,88,0
MSTRG.185.1,35,192,182,280,212,259
rna-ELECO.r07.1AG0002870.1,113,0,7,6,9,12
rna-ELECO.r07.1AG0002900.1,1,9,0,2,0,5
rna-ELECO.r07.1AG0002890.1,75,169,74,380,311,268
MSTRG.187.1,18,56,6,74,106,65
rna-ELECO.r07.1AG0002930.1,0,11,22,191,222,116
rna-ELECO.r07.1AG0002940.1,0,1,0,0,1,0
MSTRG.189.3,0,0,38,283,19,127
rna-ELECO.r07.1AG0002950.1,0,0,0,17,21,98
MSTRG.189.2,19,96,0,0,314,27
rna-ELECO.r07.1AG0003010.1,419,586,588,380,348,436
rna-ELECO.r07.1AG0003020.1,62,16,40,21,45,8
MSTRG.192.1,465,363,504,704,660,468
MSTRG.192.2,8,18,0,70,37,36
rna-ELECO.r07.1AG0003030.1,2,19,0,18,6,23
rna-ELECO.r07.1AG0003050.1,20,21,29,7,8,9
rna-ELECO.r07.1AG0003060.1,20,21,104,97,73,100
rna-ELECO.r07.1AG0003040.1,327,261,308,337,395,346
MSTRG.193.2,130,104,30,1015,823,609
MSTRG.193.3,51,172,84,76,187,145
rna-ELECO.r07.1AG0003080.1,82,39,32,102,65,52
rna-ELECO.r07.1AG0003090.1,50,60,96,109,133,53
rna-ELECO.r07.1AG0003120.1,20,23,0,37,36,34
rna-ELECO.r07.1AG0003140.1,0,18,35,39,39,23
rna-ELECO.r07.1AG0003150.1,32,84,21,139,112,91
MSTRG.204.1,12,0,0,5,0,2
MSTRG.202.1,145,175,349,144,165,43
MSTRG.202.2,17,0,0,0,27,52
MSTRG.206.1,0,0,0,6,14,2
rna-ELECO.r07.1AG0003250.1,138,182,183,28,41,80
rna-ELECO.r07.1AG0003280.1,0,0,0,29,20,22
rna-ELECO.r07.1AG0003270.1,265,546,343,1327,1000,638
MSTRG.208.1,743,1270,1183,3052,2834,2093
rna-ELECO.r07.1AG0003290.1,12,246,69,333,581,615
MSTRG.209.1,103,96,112,318,299,10
rna-ELECO.r07.1AG0003300.1,14,3,36,3,4,175
rna-ELECO.r07.1AG0003340.1,63,65,85,210,282,183
MSTRG.212.1,0,0,11,0,0,0
rna-ELECO.r07.1AG0003370.1,6,13,11,14,8,0
rna-ELECO.r07.1AG0003350.1,100,181,136,1371,976,659
rna-ELECO.r07.1AG0003380.1,794,970,831,495,581,399
rna-ELECO.r07.1AG0003400.1,0,0,0,0,0,0
MSTRG.215.1,88,27,28,980,827,642
rna-ELECO.r07.1AG0003410.1,0,1160,347,543,661,207
MSTRG.216.3,0,604,0,0,1,0
MSTRG.216.1,1279,18,1334,5857,4256,3015
MSTRG.217.1,753,554,784,2515,1935,1263
MSTRG.217.2,13,53,0,143,195,85
rna-ELECO.r07.1AG0003420.1,8,186,139,302,250,366
MSTRG.218.2,0,0,0,51,46,118
MSTRG.218.5,0,7,0,35,21,7
rna-ELECO.r07.1AG0003440.1,0,0,2,81,83,78
MSTRG.218.1,97,0,0,85,29,38
MSTRG.218.3,18,107,0,22,63,99
MSTRG.218.4,85,93,245,493,469,230
rna-ELECO.r07.1AG0003430.1,2,53,0,8,6,7
MSTRG.220.1,5,17,1,6,4,7
MSTRG.222.1,3,0,9,1,1,1
rna-ELECO.r07.1AG0003450.1,1267,1664,1617,2768,2164,1523
rna-ELECO.r07.1AG0003470.1,1205,1269,1240,1708,2459,858
rna-ELECO.r07.1AG0003510.1,0,0,2,22,25,10
MSTRG.224.1,25,21,31,15,24,13
rna-ELECO.r07.1AG0003500.1,463,703,1028,313,386,163
rna-ELECO.r07.1AG0003540.1,204,171,269,1869,1511,989
MSTRG.229.2,50,0,67,186,225,160
MSTRG.229.1,37,169,2,297,323,161
MSTRG.231.3,0,15,0,9,9,8
MSTRG.231.2,0,18,3,10,8,6
rna-ELECO.r07.1AG0003600.1,0,0,0,0,0,0
MSTRG.231.1,52,23,80,315,250,230
MSTRG.231.4,1,0,0,0,0,1
MSTRG.234.1,15,0,0,6,6,0
rna-ELECO.r07.1AG0003650.1,13,16,14,47,38,16
MSTRG.233.2,0,114,0,13,22,16
rna-ELECO.r07.1AG0003630.1,82,112,169,3213,3177,1567
rna-ELECO.r07.1AG0003660.1,4,0,5,11,20,3
rna-ELECO.r07.1AG0003670.1,0,0,0,0,0,0
MSTRG.237.2,0,0,0,38,0,81
rna-ELECO.r07.1AG0003680.1,0,0,39,150,170,125
MSTRG.236.1,6,52,7,45,59,25
MSTRG.237.1,56,139,67,265,319,93
rna-ELECO.r07.1AG0003690.1,121,152,123,907,698,549
rna-ELECO.r07.1AG0003700.1,56,9,9,114,67,62
rna-ELECO.r07.1AG0003720.1,0,2,0,25,33,6
MSTRG.241.1,11,43,25,131,65,18
rna-ELECO.r07.1AG0003710.1,142,299,182,893,708,505
rna-ELECO.r07.1AG0003530.1,21078,27579,29819,4582,5379,5840
MSTRG.242.3,0,0,0,151,0,0
MSTRG.242.1,138,54,152,803,361,409
rna-ELECO.r07.1AG0003730.1,54,69,88,786,977,390
MSTRG.243.3,0,0,20,326,43,18
MSTRG.243.1,22,3,52,47,71,9
rna-ELECO.r07.1AG0003740.1,107,192,168,50,171,163
MSTRG.244.1,1,121,92,194,149,97
MSTRG.244.2,55,11,57,40,76,33
rna-ELECO.r07.1AG0003750.1,2,2,3,1,2,2
rna-ELECO.r07.1AG0003760.1,48,87,23,57,36,35
rna-ELECO.r07.1AG0003770.1,0,0,0,0,0,0
MSTRG.246.2,0,10,0,156,170,102
rna-ELECO.r07.1AG0003790.1,0,0,0,214,150,89
MSTRG.249.2,0,24,0,0,0,0
MSTRG.249.1,48,93,40,45,22,22
MSTRG.251.1,0,6,32,29,16,20
MSTRG.252.1,6,5,16,18,27,11
MSTRG.254.2,9,0,0,266,242,153
MSTRG.254.1,12,146,119,274,269,137
MSTRG.254.3,15,0,0,4,0,3
MSTRG.253.2,0,32,44,24,51,85
MSTRG.253.1,620,687,835,973,771,466
rna-ELECO.r07.1AG0003830.1,5,7,101,34,8,32
rna-ELECO.r07.1AG0003860.1,0,0,0,90,35,43
MSTRG.256.1,6,0,0,53,117,27
rna-ELECO.r07.1AG0003850.1,82,110,82,656,594,307
MSTRG.257.1,0,0,0,2,3,1
MSTRG.258.2,0,0,0,98,120,143
MSTRG.258.1,35,61,90,196,131,108
MSTRG.259.1,3,4,16,19,18,22
rna-ELECO.r07.1AG0003890.1,0,0,0,20,39,31
MSTRG.260.1,27,95,20,648,502,268
MSTRG.263.1,0,52,30,168,140,105
MSTRG.263.2,0,0,0,13,38,0
MSTRG.262.2,0,47,0,26,6,5
rna-ELECO.r07.1AG0003970.1,0,0,0,0,0,0
MSTRG.262.1,276,580,385,733,444,358
MSTRG.264.3,0,32,65,0,10,24
MSTRG.264.1,66,237,144,62,64,130
MSTRG.264.2,58,73,142,75,53,74
MSTRG.264.4,83,68,21,19,29,30
MSTRG.264.5,70,7,77,19,56,18
MSTRG.266.1,23,0,0,248,181,103
rna-ELECO.r07.1AG0004080.1,8,35,47,581,630,339
rna-ELECO.r07.1AG0004100.1,6,11,14,112,111,85
MSTRG.268.3,0,19,23,29,45,27
MSTRG.268.4,0,37,5,125,62,75
rna-ELECO.r07.1AG0004090.1,0,116,0,168,120,73
MSTRG.268.2,49,0,30,268,285,138
MSTRG.268.1,46,8,80,622,511,402
MSTRG.271.2,0,10,43,81,39,26
MSTRG.271.3,0,23,0,65,99,83
rna-ELECO.r07.1AG0004140.1,0,1,0,0,1,0
MSTRG.271.1,39,41,17,176,68,116
rna-ELECO.r07.1AG0004160.1,8,15,5,0,6,7
MSTRG.272.1,102,217,192,600,582,338
rna-ELECO.r07.1AG0004150.1,1,1,1,1,1,1
rna-ELECO.r07.1AG0004170.1,0,0,0,18,8,4
rna-ELECO.r07.1AG0004180.1,53,107,86,282,198,163
MSTRG.275.2,0,14,0,157,237,110
rna-ELECO.r07.1AG0004190.1,0,0,48,105,15,96
MSTRG.275.1,80,136,194,665,649,441
rna-ELECO.r07.1AG0004200.1,0,0,6,10,24,27
MSTRG.276.1,17,35,24,104,85,50
rna-ELECO.r07.1AG0004220.1,113,120,112,13,30,2
rna-ELECO.r07.1AG0004230.1,363,266,299,4896,3592,1559
rna-ELECO.r07.1AG0004260.1,10,2,0,44,64,22
MSTRG.279.1,40,196,93,406,411,234
rna-ELECO.r07.1AG0004240.1,76,0,22,9,25,24
rna-ELECO.r07.1AG0004270.1,0,0,0,3,1,1
MSTRG.281.2,0,0,51,559,42,243
MSTRG.281.1,116,149,222,470,690,172
MSTRG.281.4,37,0,31,115,124,154
MSTRG.281.5,112,9,34,28,8,53
MSTRG.281.6,12,136,15,96,130,70
rna-ELECO.r07.1AG0004280.1,45,0,9,24,20,36
rna-ELECO.r07.1AG0004300.1,0,0,0,0,0,0
MSTRG.283.1,96,233,159,902,663,360
rna-ELECO.r07.1AG0004370.1,32,56,36,11,19,2
rna-ELECO.r07.1AG0004310.1,220,239,199,965,814,466
rna-ELECO.r07.1AG0004380.1,23,23,14,1515,1482,929
rna-ELECO.r07.1AG0004390.1,1,2,8,39,18,6
MSTRG.288.2,126,166,193,883,633,342
rna-ELECO.r07.1AG0004410.1,91,54,101,345,297,179
MSTRG.289.1,20,0,0,1,0,0
rna-ELECO.r07.1AG0004420.1,0,16,8,14,5,3
rna-ELECO.r07.1AG0004430.1,29,5,19,107,70,43
MSTRG.292.2,0,70,35,106,134,57
MSTRG.292.3,0,27,51,12,0,49
rna-ELECO.r07.1AG0004440.1,0,0,0,34,7,3
MSTRG.292.1,31,27,66,252,218,69
MSTRG.292.4,65,0,0,72,67,56
rna-ELECO.r07.1AG0004450.1,142,204,174,863,653,452
MSTRG.294.1,276,480,523,602,437,290
MSTRG.294.2,115,42,72,87,56,21
rna-ELECO.r07.1AG0004460.1,52,12,46,29,32,12
rna-ELECO.r07.1AG0004490.1,0,0,24,38,44,15
rna-ELECO.r07.1AG0004500.1,2,5,8,2,2,1
rna-ELECO.r07.1AG0004510.1,39,51,52,1024,882,616
MSTRG.295.4,0,13,0,0,0,3
rna-ELECO.r07.1AG0004480.1,0,0,0,0,10,0
MSTRG.295.1,140,280,204,522,513,386
rna-ELECO.r07.1AG0004470.1,130,36,118,217,87,53
MSTRG.295.2,6,14,52,288,414,148
rna-ELECO.r07.1AG0004530.1,0,0,6,72,105,55
MSTRG.300.1,72,146,198,809,691,364
rna-ELECO.r07.1AG0004520.1,15,55,76,174,55,164
MSTRG.302.1,292,402,245,973,791,487
rna-ELECO.r07.1AG0004540.1,4,81,61,78,69,47
rna-ELECO.r07.1AG0004560.1,9,40,23,582,547,277
MSTRG.303.1,0,176,5,100,116,5
rna-ELECO.r07.1AG0004550.1,136,0,161,376,201,216
rna-ELECO.r07.1AG0004570.1,0,0,154,10,17,12
MSTRG.305.1,33,111,0,401,353,221
rna-ELECO.r07.1AG0004580.1,9,0,0,2,4,0
MSTRG.306.1,53,70,111,340,300,155
rna-ELECO.r07.1AG0004590.1,2,0,0,2,2,2
rna-ELECO.r07.1AG0004620.1,5,0,5,15,25,9
MSTRG.307.3,0,0,0,246,23,73
MSTRG.307.1,310,349,421,1217,1293,632
MSTRG.307.2,15,13,15,377,152,73
rna-ELECO.r07.1AG0004600.1,10,330,73,586,130,208
MSTRG.308.1,130,108,199,352,328,288
